Isad311Référence,Isad312Intitulé,Isad313Dates,Isad313DatesNormees,Isad315ImportanceMatérielle,Isad321NomProducteur,CategorieFonds,TypeInstrumentRecherche,url,PresentationProducteur
CH BGE Ms. fr. 3975-4000,Papiers René Claparède,1883-1939,1883/1939,1.7 m.,"Claparède, René (1863-1928)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtad2dfda00e1fc3278,"René Claparède est un homme de lettres et journaliste genevois. Il est président de la Ligue suisse pour la défense des indigènes et du Bureau international pour la défense des droits des peuples. Il est notamment l'auteur de ""La Norvège indépendante"" (1906), ""L'Evolution d'un Etat philanthropique: le Congo"" (1909), ""L'Escalavage portugais"" (1913)."
CH BGE Non catalogué (2002/033),Papiers Marie-Thérèse Coullery,1948-1987 et s.d.,1948/1987,0.4 m.,"Coullery, Marie-Thérèse (1929-2000)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta76f7d931ae0bbd4f,"Marie-Thérèse Coullery est née en 1929. Elle est licenciée ès Lettres de l'Université de Genève et diplômée du Centre d'études orientales. Après avoir enseigné l'histoire de l'Art au Collège, elle devient conservatrice-adjointe des Collections Baur puis conservatrice du Musée de l'Ariana de novembre 1976 à son départ à la retraite en mars 1994."
CH BGE Ms. fr. 6763-6772,Papiers Auguste Micaël Lemaitre,1872-1921,1872/1921,0.5 m.,"Lemaitre, Auguste Micaël (1857-1922)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta978f0a55e91ab11e,"Auguste Micaël Lemaitre est né à Genève le 12 février 1857. Fils de Micaël Lemaitre et de Julie Magnenat, il est l'aîné d'une famille de deux garçons. Après une scolarité heureuse au Collège de Genève, il rejoint le Gymnase où il obtient en 1875 le grade de bachelier ès-lettres. Il s'inscrit ensuite à l'Université de Genève en Faculté des Lettres, et suit également quelques cours en Faculté des Sciences. Licencié ès-Lettres, Auguste Micaël Lemaitre effectue des remplacements à l'Institut Oscar Sillig de Vevey, avant de se rendre auprès de la cour de Suède-Norvège en 1878 où il est engagé en qualité de précepteur des jeunes princes Oscar, Charles et Eugène. C'est à l'enseignement public qu'il consacre pourtant le meilleur de ses forces. De retour à Genève, il est rapidement nommé professeur au Collège de Carouge où il reste en poste douze années durant. En 1895, il rejoint le Collège de Genève et demeure volontairement dans la division inférieure, instruisant et éduquant les garçons de 12 à 15 ans dont il savait conquérir la sympathie. Auguste Micaël Lemaitre épouse Julie Marguerite Pin le 10 juin 1883. De cette union naissent trois enfants: Théodore Henri (1886-1893), Auguste Antoine, pasteur et professeur de théologie à l'Université de Genève (voir BGE Ms. fr. 6601-6695) et Julie (1889-19?). Esprit scientifique, logique et précis, Auguste Micaël Lemaitre s'affirme aussi dans le domaine particulier de la psychologie de l'adolescent, se spécialise dans l'étude des anomalies psychiques et publie, outre travaux et monographies, de nombreux articles dans ""L'Educateur"" et les ""Archives de psychologie"". Il témoigne également d'un intérêt passionné à l'étude impartiale des phénomènes occultes. Plusieurs années durant, il organise avec le professeur Théodore Flournoy des ""séances psychiques"" ou s'entremêlent médiums et esprits frappeurs. L'Eglise a une grande place dans sa vie. Il soutient le libéralisme théologique et se fait le défenseur de la sincérité dans l'enseignement religieux: il voit clairement la mission éducative et sociale de l'Eglise protestante. Collaborateur assidu du ""Signal de Genève"" et de ""L'Essor"", il travaille activement dans la paroisse de Carouge, puis au Consistoire qu'il préside de 1917-1918. Auguste Micaël Lemaitre s'éteint à Genève le 14 février 1922. [Tiré de Christian Liechti, 1997]"
CH BGE Ms. fr. 6601-6695,Fonds Auguste Lemaitre,1866-1970,1866/1970,4.3 m.,"Lemaitre, Auguste (1887-1970)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta6c969174af664dce,"Auguste Antoine Lemaitre est le descendant d’une vieille famille d’origine cévenole et huguenote installée à Genève depuis le XIXe siècle. [...]. Auguste Lemaitre vient au monde à Carouge le 14 octobre 1887. Second enfant d’Auguste Micaël (1857-1922) et de Marguerite Lemaitre, née Pin, il restera l’unique garçon de la famille après la mort prématurée de son frère aîné Théodore en 1893, dans sa septième année. Sa soeur cadette, Julie, naîtra le 10 juillet 1889. De l’enfance d’Auguste, nous ne savons pas grand chose, si ce n’est qu’elle semble avoir été tranquille et à l’abri du besoin. Baignant dans un contexte culturel et social favorable, sans doute motivé par un père curieux et érudit, il effectue un parcours scolaire brillant qui le mène au Collège de Genève en section classique. Très tôt naissent chez lui le besoin de servir, d’être utile, et un fort sentiment social, qui l’orienteront avec assurance vers un destin pastoral. ""La tâche de pasteur m’est tôt apparue belle et hautement utile. Ce n’est cependant que tout à la fin de mes études secondaires que je me suis senti décidé à embrasser cette carrière. Le cours d’instruction religieuse de M. Henry Berguer m’a fait pressentir la place centrale, unique que doit occuper le facteur religieux dans une vie humaine normale"". Après l'obtention de son diplôme de maturité, Auguste Lemaitre entre en 1905 à la Faculté de théologie protestante de l’Université de Genève. Là, il sera notamment formé par les professeurs Georges Fulliquet et Ernest Martin, dont l’influence se fera sentir tout au long de sa carrière future. Sa curiosité naturelle l'amènera également à suivre des cours dans d’autres facultés, en philosophie et en sciences sociales par exemple. Il complétera d’ailleurs sa formation de théologien par un semestre d’études à Marbourg en 1908-1909, où il perfectionnera son apprentissage de la langue de Goethe en suivant les enseignements d'Adolf Jülicher et de Karl Büdde. Sa licence en poche, il accomplit des suffragances à Genolhac ainsi qu’à l’Eglise luthérienne du faubourg St-Antoine à Paris. La vision de la misère et des ravages de l’alcoolisme des quartiers ouvriers de la capitale l’impressionneront durablement, et susciteront notamment son adhésion inconditionnelle à la ligue antialcoolique de la Croix-Bleue, ainsi que son engagement et un dévouement sans faille auprès des populations en difficultés. Auguste Lemaitre profitera aussi de son séjour à Paris pour suivre quelques cours du philosophe français Henri Bergson. En 1911, il soutient à Genève une thèse de baccalauréat en théologie sur une question qui le préoccupe : ""Comment poser l’affirmation de l’immortalité?"" Il y prend le contre-pied d’Aloys Berthoud, théologien genevois maintenant oublié, qui opposait violemment religion naturelle et révélation biblique. Consacré au Saint Ministère dans la cathédrale St-Pierre par le pasteur Henry Berguer le 19 novembre de la même année, Auguste Lemaitre part aussitôt pour Liévin, grande cité de 28’000 habitants à la limite du bassin houiller du Pas-de-Calais. Secondé par sa jeune épouse, Odette Privat, dont le sens spontané de l’humain et le dynamisme communicatif complètent admirablement ses aptitudes, il se dépensera sans compter pour une communauté de mineurs adhérant à la Croix-Bleue et tentera d’en arracher le plus grand nombre à l’alcoolisme. De retour en Suisse pour un bref séjour, il est surpris par la guerre de 14. Mobilisé comme caporal dans l’infanterie, il obtient rapidement d’être libéré de ses obligations militaires et rejoint sans tarder sa paroisse en France. Il arrive à Liévin le 5 septembre 1914, lors des triomphantes journées de la Marne, mais les apparents succès de l’armée française se transforment rapidement en déroute. Après un mois de septembre calme, Auguste et Odette sont spectateurs et témoins directs de l’avancée allemande : les ""poilus"" se replient en pleine débandade, laissant la place aux agresseurs qui s’emparent de la ville dans la nuit du 4 au 5 octobre 1914. Onze mois durant, les époux Lemaitre vivent au milieu des bombardements, de la souffrance et de la douleur, à quelques kilomètres du front, frôlant parfois la mort pour sauver des vies. Ils s’occupent de l’ambulance, recevant jour et nuit des blessés de première ligne apportés tels quels sur des civières, ""la figure écrasée, les habits collés au corps par une croûte de terre et de sang coagulé"". Auguste assure les cultes, les services funèbres, la scolarisation des enfants, et met toute sa personne au service des autres pour améliorer leur quotidien. Grâce à sa connaissance parfaite de l’allemand, il est le trait d’union entre l’occupant germanique et la population. Vers le 20 juin 1915, tout droit de circuler lui est retiré. Le 7 juillet, sa demeure est partiellement détruite par un obus, puis on l’empêche de présider un service funèbre. La méfiance allait croissant, il fallait songer au départ. Obligés de quitter leur poste, les époux Lemaitre partent le 1er septembre 1915 de Lens pour Valenciennes, et passent trois semaines de quarantaine à Condé. Le 24 septembre, ils arrivent à Schaffhouse. Auguste Lemaitre décrira l’invasion et l’attitude des vainqueurs momentanés et de leurs victimes dans une brochure publiée en 1916 sous le titre ""Un an près des champs de bataille de l’Artois"", texte basé sur ses souvenirs de guerre consignés dans deux cahiers de mémoires autographes. Après un court séjour à Genève, il part pour Bruay, puis accepte le poste vacant de Bessège dans le Gard, qu’il occupera jusqu’en 1919. Cette même année, la paroisse de Plainpalais, poussée par des impératifs démographiques, envisage de créer le Centre de la Jonction, destiné par la suite à conquérir son autonomie. Pour cela, elle fait appel à Auguste Lemaitre qui y donnera durant treize années le meilleur de lui-même. En 1924, il consacre sa thèse de licence (équivalent au doctorat actuel) à ""La Pensée religieuse de Rudolf Otto et le mystère du divin"". Le 17 novembre de la même année, la Faculté de théologie allait connaître une perte importante. Son professeur de dogmatique, Georges Fulliquet, déjà retenu par la maladie au semestre d’été, lui était enlevé. Pour sa succession, une réduction des heures d’enseignement est imposée à la Faculté. L’arrêté du 5 décembre 1924 signé par le Conseiller d’Etat André Oltramare nomme comme chargé de cours Auguste Lemaitre, licencié en théologie, et lui attribue deux heures de cours et conférences hebdomadaires. Le Conseil de fondation de la Faculté autonome ne perd pas de temps pour titulariser les chargés de cours destinés à devenir professeurs ordinaires. En juin 1928, il nomme Auguste Lemaitre professeur ordinaire de Théologie systématique, chaire précédemment illustrée par Auguste Bouvier et Gaston Frommel. L’enseignement de Lemaitre est très diversifié. Réparti en quatre grands domaines, il se compose de la Dogmatique, de l’Apologétique, des Questions de morale chrétienne et de l’Histoire des dogmes et de la théologie. Il est également complété par de nombreux séminaires et conférences traitant de divers sujets théologiques, et par des cours de Littérature patristique grecque et latine. En 1930, il est honoré du titre de Docteur honoris causa de l’Université de Paris, et en 1936, de l’Université de Lausanne. Il assumera également la fonction de Doyen de la Faculté de théologie de Genève de 1937 à 1944. La carrière professorale d’Auguste Lemaitre est féconde à plus d’un égard, mais non exempte de difficultés et de luttes. En effet, peu de temps après la première guerre mondiale se produit une véritable révolution sur le plan théologique. Les courants de pensée qui avaient dominé le XIXe siècle sont non seulement remis en question mais violemment combattus par un groupe de théologiens dont le plus représentatif est Karl Barth, ancien condisciple de Lemaitre à Marbourg. Ce retour à la doctrine des Réformateurs mais reformulée en un langage nouveau, cette théologie de la Parole de Dieu redécouverte dans sa souveraineté, rencontrent un large écho parmi les nouvelles générations d’étudiants et rendent malaisée et parfois même douloureuse la situation des professeurs qui n’estiment pas pouvoir emboîter le pas. Auguste Lemaitre est du nombre de ceux qui résistent à la vague montante. Lui qui a été le premier à donner un cours sur Barth dans une Faculté de langue française, lui qui a poussé l'objectivité et le désintéressement jusqu'à conseiller à ses étudiants d'aller suivre l'enseignement de Barth à Marbourg, puis à Bâle, est bientôt jugé par la majorité de ses étudiants comme le représentant d'une théologie dépassée. Auguste Lemaitre est resté attaché avec conviction à l’enseignement de ceux qui l’ont formé, à une théologie de l’expérience, à ce qu’on a souvent appelé la tradition romande, illustrée par Vinet, Secrétan, Frommel et Malan. Il a horreur de la lutte. Son rêve eût été, sinon de siéger au plafond, comme Lamartine, du moins de marcher au centre. Toujours ouvert au dialogue, il part du principe qu’il peut y avoir du vrai en diverses tendances et incarne le ""libéralisme pragmatique"". Lemaitre a joué un rôle trop important dans l’Eglise de Genève pour que nous puissions le passer sous silence. Assidu aux séances de la Compagnie des pasteurs dont il a été par deux fois modérateur en 1934 et en 1943, membre pendant de longues années du Consistoire qu’il a présidé de 1947 à 1950 et en 1959 - 1960, il a suivi de très près tout ce qui touchait à la vie de l’Eglise et exprimé ses vues quand il le jugeait nécessaire dans les colonnes du ""Messager social"", en des articles clairs et souvent vigoureux. Il avait sur ce que devait être l’Eglise de très fermes convictions; il la voulait résolument multitudiniste, largement ouverte à toute la population protestante. Il tenait à son pluralisme doctrinal et à ce que toutes les tendances théologiques y eussent sans réserve droit de cité et de parole. Ses écrits permettent de le retrouver. Il publie des prédications, des entretiens sur la foi évangélique, de nombreux articles et textes. C’est sous le titre ""Foi et vérité : dogmatique protestante"", qu’Auguste Lemaitre publie en 1954 aux éditions Labor et Fides un fort volume de plus de 500 pages, oeuvre d’une vie. Cet ouvrage traite de la doctrine chrétienne de Dieu, de l’action de Dieu dans la nature, puis dans l’homme; de Jésus-Christ, du salut et de la vie chrétienne, de la doctrine de l’Eglise et de l’espérance chrétienne. Il reprend en substance l’essentiel de ses trente-cinq années d’enseignement universitaire. Salué par la critique, ce livre n'est pas destiné aux seuls théologiens : l'auteur a voulu aussi atteindre les laïcs qui éprouvent le besoin de clarifier et d'approfondir leurs convictions religieuses. Le Prix Daniel Colladon lui sera d’ailleurs attribué à l’unanimité en 1955 par un jury enthousiaste. Ce prix, décerné tous les 4 ans, récompense l’auteur de l’ouvrage le plus remarquable sur le protestantisme publié par un théologien genevois durant cette période. En plus de ses activités pastorales et professorales, Auguste Lemaitre est resté un homme d’idées et d’action. Auteur de nombreux articles et ouvrages, conférencier à ses heures, il offre l’exemple d’un théologien dont la pensée ne fut jamais dissociée de l’action. Le nombre de ses visites, démarches, cérémonies, prédications, sans parler des séances de comités dont il était membre, est proprement incalculable. Il a présidé les Amis de la pensée protestante, les Vieux-Zofingiens, la Croix-Bleue genevoise, et a été dès son origine le soutien de l'Office social, devenu le Centre social protestant. Jusqu’à ses derniers instants, il acceptera les plus humbles obligations. L’année 1960 est marquée par le départ à la retraite d’Auguste Lemaitre, après 35 années d’enseignement. La retraite ne signifie pas l’inaction pour lui; il conserve son activité de rédacteur en chef du Messager social comme son intérêt vigilant pour la Croix-Bleue. En 1964, une difficile épreuve s'impose à lui; la maladie emporte ""Doudy"", sa tendre et chère épouse, compagne de toute une vie. Pasteur dans l'âme jusqu'à la fin de sa vie, il continue ses visites auprès d'anciens paroissiens et catéchumènes dans tout le canton, et préside des cultes et des cérémonies jusqu'à l'extrême limite de ses forces. Après une longue maladie qui l’épuise deux années durant, Auguste Lemaitre s’éteind le 10 mars 1970 à l’âge de 82 ans. Devant une très nombreuse assistance, le pasteur Jean Rilliet préside le service funèbre célébré à sa mémoire en la cathédrale Saint-Pierre. Les autorités civiles, l’Eglise nationale, la Faculté de théologie, diverses délégations et de nombreux amis assisteront à ce dernier hommage. [Christian Liechti, 1997]"
CH BGE Ms. mus. 1253-1286,Papiers Gustave Ferrari,1879-1948,1879/1948,1.6 m.,"Ferrari, Gustave (1872-1948)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta2cf28fb7b858b993,"""Gustave Ferrari, chanteur, compositeur et chef d'orchestre, est né à Genève en 1872. Il étudia le piano, l'orgue et la composition d'abord au Conservatoire de musique de Genève, puis à Paris sous la direction d'Eugène Gigout. A l'Exposition nationale suisse, à Genève, en 1896, il occupa le poste d'organiste officiel. Il fut le premier chroniqueur musical de ""La Suisse"" lors de la fondation du journal en 1898. Ayant gagné Londres en 1900, il se consacra dès lors à la composition et à l'enseignement. Il composa en 1905 la musique de scène de ""Hamlet"", représenté à l'Adelphi Theater. Pour l'Empire Theater, il composa la musique pour le poème de Sturge Moore ""The Wilderness"". Il fut désigné pour écrire la cantate officielle pour choeurs, soli et orchestre pour la célébration du bicentenaire de J[ean-]J[acques]. Rousseau, à Genève en 1912. A côté de pièces religieuses et profanes pour l'orgue, il publia un grand nombre de chants anglais et français, notamment 4 volumes de vieilles chansons françaises harmonisées pour Yvette Guilbert, avec laquelle il voyagea de nombreuses années comme accompagnateur et harmonisateur, parcourant l'Europe, l'Egypte et les Etats-Unis. Parmi les mélodies les plus connues de Gustave Ferrari figure ""Le Miroir"", publié par 4 maisons d'édition; ""Chiffon"", une comédie musicale, fut représentée à Genève en 1928. Il contribua au ""Dictionnaire de musique"" de Grove. Comme chef d'orchestre, il dirigea entre autres avec succès, et plus de 500 fois, l'étonnante version musicale des ""Nuits d'Arabie"", ""Chu Chin Chow"", avec Tyrone Power Jr. dans le rôle titulaire. Les dernières années, Gustave Ferrari se voua presque exclusivement au chant. Il fut le serviteur fidèle et dévoué de la chanson française. Ses récitals, tant en Europe qu'en Amérique, se chiffrent par centaines et il était heureux d'avoir pu, partout, faire partager son enthousiasme aux étudiants d'universités, d'écoles et à d'autres auditoires. Revenu à Genève à la fin de sa carrière, Gustave Ferrari y est décédé en 1948."" Notice nécrologique parue dans ""La Suisse"", le 30 juillet 1948."
CH BGE Ms. fr. 7814-7828,Manuscrits Jean-Pierre Henry,19e s.,1814/1877,0.5 m.,"Henry, Jean-Pierre (1814-1877)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta32bfa43386cf2c18,"Jean-Pierre Henry est né à Meyrin en 1814, dans une famille de petits commerçants. Pris en charge par le curé du lieu, il est envoyé chez les Jésuites de Fribourg de 1827 à 1834. Peu après son entrée au séminaire, il recule devant la vie ecclésiastique et quitte la Suisse en 1835. Il passera la majeure partie de sa vie comme précepteur dans des familles de l’aristocratie bavaroise et austro-hongroise. Il se suicide à Munich en 1877, dans le plus grand dénuement."
"CH BGE Ms. fr. 1047, 6501-6506",Papiers Théophile Heyer,1789-1916,1789/1916,0.5 m.,"Heyer, Théophile (1804-1871)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta15f5f9952aeb44c9,"Théophile Heyer (1804-1871) est né à Genève et est le fils de Jean, pasteur et tenancier d'une école, et de Catherine-Pernette Chenevière. Il épouse, en 1845, Anne-Andrienne Johannot, fille d'Henry, négociant. De santé délicate, il devient élève-pensionnaire de son père et il suit des études de physique et de mathématiques à l'Académie de Genève (1827-1829). Il enseigne l'arithmétique au cours gratuit de la Société des Arts (1827-1837), puis à l'Ecole industrielle (1840-1850). En 1843, il est nommé commis aux Archives de l'Etat de Genève, institution qu'il dirigera de 1866 à 1871. Il est également président de la Société d'histoire et d'archéologie de Genève de 1869 à 1871 et l’auteur de nombreuses publications, notamment sur les statistiques de la mortalité à Genève entre 1816 et 1830 (1834). C'est du reste dans les ""Mémoires et documents"" publiés par cette Société que parurent la plupart de ses travaux. Théophile Heyer décède à Lancy en 1871. [D'après Catherine Santschi, ""Heyer, Théophile"", in Dictionnaire historique de la Suisse, url : http://www.hls-dhs-dss.ch/textes/f/F45962.php, version du 22/05/2008]"
CH BGE Non catalogué (2003/055),Papiers Jean Rudhardt,20e - 21e s.,1900/2099,22 m.,"Rudhardt, Jean (1922-2003)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta3f883c8d11d77c0b,"Professeur d'histoire des religions, helléniste, papyrologue."
"CH BGE Ms. fr. 2071-2117, 4501-4616",Papiers Henry Dunant,1828-1939,1828/1939,2.5 m.,"Dunant, Henry (1828-1910)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtaa8a595805df0f594,"Né à Genève en 1828, Henry Dunant quitte le collège à 14 ans. Il entame alors un apprentissage (1849) avant de rejoindre l’entreprise d’agents de change Lullin et Sautter. Sensible à la misère, influencé par le mouvement du Réveil, Henry Dunant est actif dans les mouvements philanthropiques et religieux. Il lance à Genève en 1852 l'Union chrétienne de jeunes gens (UCJG) et participe en 1855 à la fondation de l'Alliance universelle des unions chrétiennes de jeunes gens. Employé par la Compagnie genevoise des colonies suisses de Sétif (cofondée par Lullin et Sautter), il est en Algérie dès 1853. Il décide de lancer en parallèle sa propre entreprise et fonde la Société des moulins de Mons-Djémila (1858). Voulant rencontrer Napoléon 3 pour lui présenter ses projets algériens, Henry Dunant le suit en Italie et découvre avec horreur les suites de la bataille de Solférino (1859). De retour à Genève, il rédige « Un souvenir de Solférino » (1862) où il appelle à créer des sociétés de secours pour les blessés dans les pays européens et à protéger le personnel sanitaire ""par un principe international, conventionnel et sacré"". L'intervention de Gustave Moynier, président de la Société genevoise d'utilité publique, débouche sur la création en février 1863 d'un Comité international de secours aux militaires blessés (Croix-Rouge), dont Henry Dunant est le secrétaire. A la suite du congrès de statistique de Berlin de septembre 1863 et en prévision de la conférence internationale qui doit se réunir à Genève en octobre, il demande dans une circulaire la neutralisation en temps de guerre des blessés et du personnel sanitaire. En mars 1864, il fonde la Croix-Rouge genevoise puis, avec le soutien de Napoléon III, suscite la création à Paris de la Société française de secours aux blessés. La conférence diplomatique convoquée par le Conseil fédéral à Genève en août 1864 adopte la première convention de Genève, exauçant ainsi le second vœu de Dunant. Celui-ci voyage en Europe pour propager les idéaux de la Croix-Rouge. Mais ses affaires algériennes périclitent et la liquidation, en avril 1867, du Crédit genevois qui leur est lié et dont il est l'un des administrateurs, provoque un scandale. En août 1867, il est sommé de démissionner du Comité international. En mars 1867, il quitte Genève pour n'y plus revenir. Il redouble d'activité, multiplie les contacts à Paris, en Angleterre, travaille à l'extension de la convention de Genève aux marins, crée une société pour l'amélioration du sort des prisonniers de guerre. Pendant le siège de Paris de 1870-1871, il prodigue des secours aux civils, tente de visiter les prisonniers et de faire libérer les otages. Ses initiatives se déploient aussi dans d'autres domaines: le sionisme, l'instruction (sous la forme d'une bibliothèque internationale universelle). Ruiné, il vit dans la misère jusqu'à l'octroi par son oncle d'une rente annuelle qui lui permet de s'établir en 1887 à Heiden, d'abord à la pension Paradis puis, dès 1892, à la clinique du Dr Hermann Altherr. C'est là que le découvre en 1895 le journaliste Georg Baumberger qui, par ses articles dans la presse suisse et allemande, déclenche un grand mouvement de sympathie. Aussitôt les visites, les secours, les distinctions affluent. Le Conseil fédéral lui décerne en 1897 le prix Binet-Fendt et, en 1901, Henry Dunant reçoit le premier prix Nobel de la paix, avec le pacifiste français Frédéric Passy. Durant ses dernières années, il rédige une histoire des débuts de la Croix-Rouge (traduite en allemand et publiée par son ami le professeur Rudolf Müller en 1897) et un appel au pacifisme resté manuscrit. Personnalité complexe, Henry Dunant a été tour à tour encensé et honni. Il décède à Heiden en 1910. D'après Jean de Senarclens, ""Dunant, Henry"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F19082.php, version du 21.02.2006"
"CH BGE Ms. suppl. 851, 1136-1140",Papiers Jacques-André Lullin de Châteauvieux,1549-1796,1549/1796,0.2 m,"Lullin de Châteauvieux, Jacques-André (1728-1816)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtaa5ba0502757afb1b,"Officier au service de France, colonel"
CH BGE non catalogué (2008/016),Archives de la famille Geisendorf-Des Gouttes,19e - 20e s.,1800/1999,6 m.,"Geisendorf-Des Gouttes, famille (19e - 20e s.)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtaa3d603771104f86c,
CH BGE Ms. fr. 7932-7938,Papiers Serge Serguéyeff,1863-1871,1863/1871,0.4 m,"Serguéyeff, Serge (1821-1891)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta592707f3427cf8ec,"Serge Serguéyeff est né en 1821 et mort à Genève le 18 septembre 1891. Il est étudiant à l’Université de Genève entre 1874 et 1878 (Facultés des Lettres, Sciences, puis Médecine). Puis médecin et professeur de physiologie à Genève, il donne des leçons en particulier sur la physiologie de la veille et du sommeil, en se penchant aussi bien sur l’humain que sur les animaux et les plantes. Serge Serguéyeff est l’auteur de trois ouvrages publiés (voir bibliographie)."
CH BGE Ms. fr. 5215-5284,Papiers Henri de Ziegler,1903-1971,1903/1971,6.1 m,"Ziegler, Henri de (1885-1970)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtab7f70b3af165d192,"Henri de Ziegler est né à Genève le 18 juillet 1885. Il est fils de Christophe de Ziegler, peintre, émailleur et professeur de dessin et de Georgine Frédérica Dufaux. Henri épouse en 1920 Cécile Henriette Bénédicte Carry, fille de Jean François, journaliste. Licencié ès lettres en 1907, Henri de Ziegler enseigna d'abord à l'étranger, puis au Collège de Genève dès 1911. En 1937, il fut nommé chargé de cours pour l'enseignement de la langue et de la littérature italiennes à la Faculté des Lettres de l'Université de Genève. Après son doctorat (1944), il fut successivement professeur extraordinaire puis ordinaire, doyen de la Faculté des lettres (1946), vice-recteur (1952) et enfin recteur de l'Université (1954-1956). Son oeuvre, abondante et diverse, s'étend sur plus d'un demi-siècle: entre son premier recueil de poèmes, ""L'Aube"" (1911) et ses derniers articles parus dans les années soixante, Henri de Ziegler n'a cessé de publier. Citons en particulier ses quatre romans : ""Les deux Romes"" (1925), ""L'invention du bonheur"" (1928), ""La Vega"" (1929), ""Aller et retour"" (1943); et, parmi les nombreux essais : ""Nostalgie et conquêtes"" (1923), ""Le Bourdon du Pèlerin"" (1931), ""Le monde occidental, ou Poésie de l'Amérique"" (1931), ""Idylle"" (1933), ""Le Collège de Genève"" (1934), ""Vie de l'empereur Frédéric II de Hohenstaufen"" (1935), ""Pétrarque"" (1940), ""Contre-courant"" (1941), ""Leopardi"" (1944), ""Lusitanie"" (1944), ""Journal d'un mois"" (1945), ""L'Ecole des Esclaves"" (1947), ""Genève et l'Italie"" (1948), ""Ciel et Terre"" (1951), ""La Voix de la Terre"" (1952), ""Les Lacs suisses"" (1959). On lui doit également d'excellentes traductions, d'écrivains tessinois et alémaniques notamment, et d'innombrables articles parus dans divers journaux et revues suisses et français. Membre de plusieurs sociétés et institutions, Henri de Ziegler fut président de la Société des écrivains suisses, de la Société genevoise d'études italiennes, de la Société académique, de la Classe des Beaux-Arts, etc. Il fut aussi chroniqueur au ""Journal de Genève"" et joua un rôle important dans la vie culturelle genevoise. Il consacra de nombreux textes à l'Italie et au Portugal. Henri de Ziegler est décédé le 21 mars 1970. [D'après Corinne Chevrot, Catalogue 27, p. 170 et Roger Francillon, ""Ziegler, Henri de"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F16189.php, version du 27/02/2014]"
CH BGE Ms. fr. 1483-1505,Archives de la famille Stroehlin,1780-1981,1780/1981,"4,1 m","Stroehlin, famille",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtabc9cf641459e7a4c,"Jean-Baptiste Alexandre Stroehlin (1813-1889) fit ses études de médecine à Paris avant de s'installer à Genève. Chirurgien de l'hôpital, président de la Société médicale de Genève, il épousa en première noce Marie-Louise Latoix, qui lui donna un fils, Ernest. Devenu veuf, il se remaria en 1854 avec Laure Amiel (1829-1892), soeur cadette de Henri-Frédéric Amiel. De cette union naquit un fils, Paul. Ernest Stroehlin (1844-1907), historien du protestantisme, fut aussi député du Grand Conseil de 1876 à 1880 et professeur d'histoire et de religions à l'Université de Genève de 1880 à 1894. Il épousa la fille aînée de Henri-Léonard Bordier, Anne-Hélène. H.-L. Bordier était lui-même historien du protestantisme, archiviste-paléographe et collectionneur de livres; à la mort de ce dernier, Ernest Stroehlin hérita une grande partie de la bibliothèque de son beau-père. Ayant lui-même acquis beaucoup de livres, il laissa à sa mort une importante collection d'ouvrages historiques; son beau-frère, Théophile Dufour, en dressa le catalogue de vente: ""Catalogue de la bibliothèque de feu Ernest Stroehlin"", 3 parties, Paris, 1910-1911. Une partie de la bibliothèque d'Ernest Stroehlin fut achetée par la Bibliothèque publique et universitaire entre 1909 et 1921. Paul Stroehlin (1863-1908), demi-frère d'Ernest Stroehlin, fit ses études à Berlin et voyagea à l'étranger avant de revenir à Genève en 1889. Collectionneur dans l'âme, il fonda la Société suisse de numismatique ainsi que la ""Revue suisse de numismatique"" (1890) dans laquelle il publia de nombreux articles. Avec l'aide de son ami Charles Muriset-Gicot, il créa en 1904 un deuxième périodique, le ""Journal des collectionneurs"". Il mourut jeune en laissant une collection impressionnante de monnaies qui fut entièrement vendue à des amateurs suisses et étrangers. [Françoise Pittard, 1993]"
